PLANTAORIGEN_Pesqueria,D_CLIENTE,PESO_NETO,ESTADO,CIUDAD,TIPOTRANSPORTE,target
1,28,34560,14,61,5,54
1,157,35980,14,49,6,40
1,157,35700,14,49,6,40
1,145,36750,14,61,6,52
1,157,35960,14,49,6,40
1,137,32920,14,61,6,40
1,137,33240,14,61,6,40
1,137,33110,14,61,8,44
1,107,28180,8,35,5,66
1,204,37530,14,3,5,54
1,204,34380,14,3,7,57
1,227,36510,14,42,11,39
1,227,38480,14,42,11,39
1,204,30280,14,3,5,57
1,204,25990,14,3,5,25
1,204,29390,14,3,5,25
1,204,34810,14,3,5,25
1,204,33670,14,3,5,25
1,204,37080,14,3,5,25
1,204,27100,14,3,5,25
1,158,39180,14,61,5,25
1,204,29520,14,3,5,54
1,28,25710,14,61,5,57
1,157,39620,14,49,6,40
1,145,19780,14,61,6,52
1,157,28550,14,49,6,40
1,157,30600,14,49,5,41
1,157,37580,14,49,6,40
1,137,37970,14,61,5,57
1,157,39460,14,49,6,40
1,157,39210,14,49,6,40
1,204,29400,14,3,3,57
1,137,33780,14,61,6,50
1,137,32570,14,61,6,40
1,28,33550,14,61,5,54
1,157,35830,14,49,6,50
1,157,31520,14,49,6,40
1,157,36090,14,49,6,40
1,137,32610,14,61,6,40
1,157,36040,14,49,6,40
1,0,32060,18,60,5,66
1,227,20530,14,42,6,40
1,236,31070,18,60,5,66
1,159,30190,14,55,6,40
1,157,26730,14,49,6,40
1,204,35740,14,3,5,12
1,28,29180,14,61,11,39
1,260,26810,14,61,5,54
1,204,39450,14,3,7,45
1,204,34180,14,3,5,29
1,227,32980,14,42,6,40
1,227,34890,14,42,6,40
1,227,22590,14,42,6,52
1,227,22570,14,42,5,41
1,151,30300,14,3,7,54
1,227,21690,14,42,6,52
1,157,29400,14,49,6,48
1,227,20810,14,42,5,41
1,157,26070,14,49,6,40
1,268,25430,14,3,6,40
1,268,35260,14,3,6,40
1,151,23320,14,3,5,57
1,157,37980,14,49,6,40
1,137,35750,14,61,5,12
1,227,36800,14,42,6,52
1,28,39280,14,61,7,25
1,28,32810,14,61,7,25
1,56,31730,5,41,7,60
1,56,38910,5,41,7,69
1,56,31760,5,41,5,69
1,227,36780,14,42,5,45
1,56,38190,5,41,5,63
1,56,28920,5,41,5,70
1,227,32760,14,42,6,40
1,151,21500,14,3,5,25
1,151,20820,14,3,5,25
1,160,28880,9,60,5,66
1,227,22030,14,42,6,40
1,227,21930,14,42,6,39
1,28,31690,14,61,4,57
1,157,38910,14,49,5,54
1,227,20190,14,42,6,40
1,157,38780,14,49,5,54
1,137,26040,14,61,5,9
1,28,36010,14,61,5,9
1,137,37380,14,61,6,40
1,157,24560,14,49,5,41
1,227,22040,14,42,6,52
1,196,20260,17,51,3,75
1,227,20640,14,42,6,40
1,151,30620,14,3,5,25
1,227,20780,14,42,5,41
1,227,20600,14,42,6,50
1,84,37740,14,23,6,48
1,227,22820,14,42,5,25
1,150,27350,14,49,6,40
1,227,21880,14,42,5,41
1,227,28480,14,42,5,30
1,227,32750,14,42,6,40
1,151,18270,14,3,5,30
1,227,36870,14,42,5,9
1,227,32490,14,42,6,44
1,260,18670,14,61,5,54
1,260,17680,14,61,5,54
1,227,33980,14,42,5,41
1,28,40000,14,61,5,25
1,227,20710,14,42,6,44
1,157,28930,14,49,3,68
1,150,27100,14,49,6,40
1,227,22980,14,42,5,41
1,227,32180,14,42,6,50
1,227,20840,14,42,5,54
1,227,36860,14,42,6,52
1,151,20350,14,3,5,36
1,227,22830,14,42,6,40
1,227,36830,14,42,11,43
1,266,23460,14,3,3,57
1,151,35170,14,3,5,7
1,96,30460,14,3,6,48
1,266,23450,14,3,6,40
1,227,33950,14,42,5,54
1,227,39870,14,42,7,54
1,227,35120,14,42,5,25
1,266,23590,14,3,5,25
1,28,39560,14,61,5,52
1,266,23560,14,3,6,50
1,204,26060,14,3,5,41
1,227,23680,14,42,5,41
1,227,22130,14,42,5,41
1,266,23360,14,3,5,25
1,266,23600,14,3,5,12
1,266,23370,14,3,6,40
1,236,33340,18,60,5,61
1,266,23360,14,3,7,57
1,85,36160,9,67,5,33
1,266,23380,14,3,8,54
1,266,23550,14,3,5,25
1,227,22180,14,42,5,41
1,267,34300,14,63,5,45
1,157,29320,14,49,6,52
1,137,29640,14,61,5,32
1,157,24290,14,49,3,68
1,28,30780,14,61,3,57
1,266,23580,14,3,6,40
1,28,34770,14,61,5,54
1,236,36350,18,60,5,61
1,268,25210,14,3,5,30
1,266,23450,14,3,6,48
1,96,30680,14,3,4,57
1,96,30410,14,3,5,57
1,96,30250,14,3,5,57
1,266,23560,14,3,4,57
1,266,23440,14,3,6,40
1,161,38710,14,55,5,54
1,18,37710,5,7,6,39
1,266,23210,14,3,6,40
1,227,21250,14,42,6,39
1,268,25400,14,3,7,54
1,204,33570,14,3,5,41
1,56,26650,5,41,5,69
1,227,22380,14,42,6,39
1,268,25770,14,3,7,25
1,227,20380,14,42,6,41
1,28,36390,14,61,8,44
1,266,23380,14,3,5,25
1,137,30920,14,61,11,39
1,157,20220,14,49,5,61
1,266,23310,14,3,5,45
1,227,22990,14,42,6,39
1,227,33490,14,42,6,52
1,266,23370,14,3,4,57
1,236,37130,18,60,5,66
1,227,33620,14,42,6,52
1,157,26200,14,49,6,52
1,266,23260,14,3,6,56
1,266,23340,14,3,6,56
1,268,23030,14,3,3,68
1,204,31120,14,3,5,41
1,56,27830,5,41,5,69
1,64,19410,14,3,5,54
1,266,23560,14,3,6,50
1,161,39190,14,55,6,40
1,145,35910,14,61,6,39
1,204,28290,14,3,5,41
1,161,29930,14,55,6,40
1,204,34180,14,3,5,9
1,204,33430,14,3,5,25
1,204,37970,14,3,5,25
1,109,37390,14,13,5,25
1,267,37550,14,63,5,25
1,204,31580,14,3,5,25
1,266,22890,14,3,6,40
1,200,30620,14,13,5,12
1,150,27350,14,49,6,40
1,150,27350,14,49,6,40
1,28,40580,14,61,7,44
1,145,23600,14,61,6,39
1,200,39590,14,13,5,12
1,150,27070,14,49,6,50
1,109,38300,14,13,5,25
1,150,27060,14,49,6,50
1,204,31040,14,3,7,25
1,266,22820,14,3,6,40
1,204,30690,14,3,5,41
1,204,35980,14,3,5,9
1,227,22350,14,42,6,44
1,227,26350,14,42,6,44
1,227,36940,14,42,6,44
1,84,37020,14,23,7,45
1,236,29350,18,60,5,61
1,109,38870,14,13,5,36
1,201,31010,14,18,5,9
1,84,19300,14,23,6,40
1,99,29340,1,39,5,66
1,266,22830,14,3,6,40
1,84,19730,14,23,6,50
1,200,39630,14,13,7,57
1,109,36220,14,13,6,40
1,201,33990,14,18,5,25
1,200,32730,14,13,5,25
1,266,23650,14,3,6,40
1,236,34070,18,60,5,50
1,84,26220,14,23,6,40
1,28,29640,14,61,5,52
1,28,40190,14,61,11,39
1,266,24680,14,3,6,40
1,204,37650,14,3,5,25
1,201,35580,14,18,5,25
1,28,29010,14,61,5,41
1,266,22560,14,3,6,40
1,266,23710,14,3,6,40
1,266,22420,14,3,6,50
1,144,36090,14,3,6,50
1,144,33360,14,3,6,40
1,28,37750,14,61,7,25
1,28,34350,14,61,11,39
1,266,23590,14,3,6,40
1,215,22250,14,23,6,40
1,236,33970,18,60,9,50
1,266,22850,14,3,6,40
1,28,34360,14,61,5,41
1,103,26160,14,3,7,45
1,268,37050,14,3,6,40
1,137,21570,14,61,6,52
1,137,33530,14,61,6,52
1,137,36410,14,61,5,41
1,236,35530,18,60,5,50
1,61,29650,14,3,5,45
1,78,36060,14,3,6,50
1,109,39820,14,13,6,40
1,144,33200,14,3,6,50
1,196,36710,14,3,5,25
1,227,23210,14,42,6,48
1,144,33340,14,3,6,48
1,6,38010,14,61,5,32
1,78,31260,14,3,6,40
1,61,33490,14,3,5,25
1,78,24690,14,3,6,40
1,6,31720,14,61,5,25
1,6,33220,14,61,5,25
1,78,31980,14,3,6,40
1,144,33480,14,3,6,40
1,266,22660,14,3,6,40
1,78,22840,14,3,6,40
1,144,33190,14,3,5,54
1,162,40070,14,3,5,25
1,266,23590,14,3,6,40
1,266,31580,14,3,6,40
1,28,34630,14,61,5,25
1,266,22090,14,3,6,50
1,78,33570,14,3,6,50
1,78,33270,14,3,6,50
1,152,26650,14,3,5,41
1,106,34140,14,23,5,9
1,268,34640,14,3,7,25
1,6,34240,14,61,5,9
1,144,33280,14,3,6,40
1,145,19240,14,61,6,52
1,236,35600,18,60,9,50
1,163,24580,14,3,6,48
1,151,28150,14,3,5,41
1,162,35120,14,3,5,25
1,266,31390,14,3,6,40
1,151,18310,14,3,5,41
1,227,23410,14,42,6,52
1,266,31100,14,3,6,40
1,236,35220,18,60,5,71
1,28,25310,14,61,11,39
1,137,21320,14,61,6,41
1,164,24110,14,23,6,50
1,99,28690,1,39,9,20
1,266,32040,14,3,6,50
1,84,20010,14,23,6,50
1,227,22550,14,42,6,39
1,96,30110,14,3,5,32
1,266,26720,14,3,6,50
1,96,30020,14,3,5,54
1,145,32990,14,61,11,52
1,78,39420,14,3,5,54
1,145,30840,14,61,5,44
1,69,20510,14,3,6,40
1,145,23370,14,61,6,41
1,145,35250,14,61,6,44
1,145,22910,14,61,6,44
1,161,29860,14,55,6,50
1,145,37640,14,61,6,39
1,78,21940,14,3,6,40
1,78,33930,14,3,6,40
1,145,26190,14,61,6,52
1,166,35440,5,52,5,4
1,266,23480,14,3,6,50
1,266,24080,14,3,6,50
1,111,23200,14,23,6,40
1,151,36460,14,3,5,25
1,204,36570,14,3,5,9
1,111,23040,14,23,6,40
1,111,23250,14,23,6,40
1,109,31240,14,13,7,45
1,111,23010,14,23,6,40
1,111,22820,14,23,6,40
1,236,36620,18,60,5,71
1,167,33630,18,60,5,71
1,111,29180,14,23,6,40
1,266,26880,14,3,6,40
1,99,29400,1,39,5,66
1,84,18350,14,23,6,40
1,266,35830,14,23,6,50
1,99,29560,1,39,5,40
1,103,23880,14,3,6,40
1,260,12930,14,61,5,54
1,227,22050,14,42,6,52
1,6,39530,14,61,5,25
1,268,35540,14,3,5,54
1,266,36070,14,23,6,40
1,99,29870,1,39,5,48
1,109,31510,14,13,6,40
1,109,34650,14,13,6,40
1,227,22650,14,42,5,41
1,268,20780,14,3,5,57
1,268,20740,14,3,5,57
1,84,22010,14,23,6,40
1,106,34300,8,35,9,71
1,84,22000,14,23,6,40
1,268,20770,14,3,5,9
1,268,22450,14,3,5,9
1,84,21980,14,23,6,50
1,268,23020,14,3,5,25
1,99,30460,1,39,5,25
1,266,35750,14,23,6,40
1,266,27050,14,3,6,50
1,99,31380,1,39,5,48
1,266,19410,14,3,6,40
1,84,22030,14,23,6,40
1,260,12170,14,61,5,54
1,227,20620,14,42,6,52
1,84,22020,14,23,6,40
1,109,31270,14,13,6,40
1,268,22340,14,3,5,7
1,84,21990,14,23,6,40
1,84,35880,14,23,6,40
1,84,38050,14,23,6,40
1,84,22030,14,23,6,50
1,78,33850,14,3,6,40
1,96,30030,14,3,6,40
1,236,36140,18,60,5,71
1,84,38660,14,23,6,40
1,109,36170,14,13,6,40
1,236,31460,18,60,5,50
1,84,21880,14,23,6,40
1,84,21970,14,23,6,40
1,268,35450,14,3,5,54
1,137,33500,14,61,6,52
1,266,31340,14,3,6,40
1,109,20570,14,13,6,40
1,84,21900,14,23,6,40
1,84,22060,14,23,6,40
1,137,34040,14,61,5,41
1,78,29330,14,3,6,40
1,84,38690,14,23,5,54
1,84,38510,14,23,5,54
1,34,34700,14,13,6,40
1,84,21870,14,23,6,40
1,151,35750,14,3,5,41
1,266,22550,14,3,6,40
1,266,22860,14,3,6,50
1,28,23910,14,61,5,32
1,166,27540,5,52,5,7
1,163,24280,14,3,6,40
1,144,25190,14,3,6,40
1,137,35030,14,61,6,52
1,28,21980,14,61,5,57
1,268,36890,14,3,5,12
1,266,22680,14,3,6,48
1,144,32300,14,3,6,40
1,28,31220,14,61,5,41
1,268,22340,14,3,4,57
1,147,23080,22,1,3,75
1,93,21830,14,13,6,40
1,36,38400,14,13,5,57
1,144,33360,14,3,6,56
1,144,33280,14,3,6,56
1,147,21270,22,1,3,75
1,93,27010,14,13,6,50
1,268,36790,14,3,5,12
1,227,22070,14,42,6,44
1,111,22680,14,23,6,40
1,168,38070,14,3,6,50
1,111,22500,14,23,6,40
1,268,36970,14,3,6,40
1,56,31420,5,41,5,60
1,56,33110,5,41,5,69
1,268,32520,14,3,5,54
1,145,30210,14,61,6,52
1,78,38930,14,3,5,54
1,268,36820,14,3,5,45
1,36,36440,14,13,6,50
1,78,24880,14,3,7,45
1,56,38950,5,41,7,58
1,161,19450,14,55,5,9
1,166,28640,5,52,5,34
1,169,37700,14,3,6,40
1,268,32340,14,3,6,40
1,56,36420,5,41,5,70
1,56,38140,5,41,5,72
1,144,35580,14,3,6,40
1,84,38850,14,23,6,40
1,84,36790,14,23,6,39
1,204,31430,14,3,5,7
1,84,38830,14,23,6,50
1,227,19800,14,42,6,40
1,151,36690,14,3,5,25
1,137,21350,14,61,6,40
1,93,31980,14,13,6,50
1,103,30170,14,3,6,50
1,151,36210,14,3,5,12
1,137,38730,14,61,11,52
1,157,22680,14,49,5,41
1,204,35510,14,3,5,41
1,164,24400,14,23,5,9
1,260,27910,14,61,7,54
1,204,30340,14,3,5,41
1,137,39020,14,61,6,44
1,227,26000,14,42,6,40
1,266,22890,14,3,6,40
1,137,33550,14,61,6,50
1,268,26030,14,3,6,40
1,227,34490,14,42,6,50
1,204,26000,14,3,4,57
1,151,32500,14,3,7,25
1,145,32980,14,61,6,52
1,227,22250,14,42,6,40
1,151,28870,14,3,5,9
1,146,26820,1,39,5,20
1,227,33670,14,42,6,40
1,266,24230,14,3,6,19
1,151,39460,14,3,5,12
1,28,36920,14,61,5,57
1,151,35600,14,3,5,57
1,111,22700,14,23,6,40
1,227,25510,14,42,6,19
1,266,22950,14,3,6,40
1,163,24260,14,3,6,40
1,268,36960,14,3,6,40
1,268,36840,14,3,6,40
1,266,28710,14,3,6,40
1,28,35100,14,61,5,41
1,28,35170,14,61,5,54
1,28,34440,14,61,5,45
1,151,31060,14,3,5,25
1,28,36260,14,61,5,41
1,268,36400,14,3,6,40
1,151,31220,14,3,7,45
1,28,20740,14,61,5,41
1,93,30410,14,13,6,50
1,266,22600,14,3,6,19
1,266,23800,14,3,6,19
1,111,22900,14,23,6,19
1,111,22630,14,23,6,40
1,151,33660,14,3,5,36
1,147,23050,22,1,3,75
1,227,20280,14,42,6,44
1,28,36770,14,61,5,25
1,266,24200,14,3,6,19
1,111,22680,14,23,6,40
1,260,26650,14,61,5,54
1,28,35660,14,61,5,41
1,28,35880,14,61,5,41
1,78,24650,14,3,6,40
1,266,26900,14,3,6,40
1,78,24570,14,3,6,40
1,18,27270,5,7,6,52
1,18,38810,5,7,11,39
1,18,25980,5,7,6,39
1,18,26580,5,7,6,39
1,18,27020,5,7,6,39
1,268,20630,14,3,5,57
1,151,39020,14,3,5,7
1,266,24330,14,3,6,56
1,227,24430,14,42,6,39
1,147,24410,22,1,3,75
1,151,39480,14,3,7,54
1,151,30570,14,3,5,12
1,151,30290,14,3,5,25
1,151,38670,14,3,5,45
1,157,23460,14,49,6,40
1,28,35510,14,61,5,45
1,151,22440,14,3,4,57
1,157,23100,14,49,6,40
1,204,19850,14,3,5,41
1,28,33650,14,61,5,52
1,157,23600,14,49,6,40
1,28,35380,14,61,11,39
1,204,38490,14,3,5,25
1,236,33430,18,60,9,56
1,18,26790,5,7,6,52
1,266,26830,14,3,6,40
1,266,28140,14,3,6,48
1,266,26840,14,3,6,40
1,56,32330,5,41,5,69
1,56,35780,5,41,5,65
1,56,38600,5,41,5,63
1,56,33960,5,41,5,63
1,56,31120,5,41,5,72
1,56,35210,5,41,5,59
1,266,26820,14,3,6,40
1,56,32860,5,41,5,72
1,266,22790,14,3,5,25
1,204,30170,14,3,5,41
1,56,39040,5,41,7,63
1,56,38070,5,41,7,60
1,266,24270,14,3,6,40
1,56,38710,5,41,5,60
1,109,29090,14,13,5,25
1,266,28160,14,3,6,40
1,157,23650,14,49,6,52
1,266,23530,14,3,6,40
1,266,23340,14,3,6,40
1,266,23330,14,3,6,40
1,157,21710,14,49,5,57
